Evidence ID	Source path / command	What it shows	Supports	Strength
E1	python3 listing of ~/Desktop and ls -la ~/Desktop	Exact folder match exists at /Users/mimac/Desktop/🍎	H2	medium
E2	/Users/mimac/Documents/New project/apple_folder_inventory.tsv	Folder inventory is small and clean: 36 entries, 25 files, 9 dirs, 2 packages, 1 hidden file, 0 symlinks, 0 read failures	H2	medium
E3	xcodebuild -list -project /Users/mimac/Desktop/🍎/LapTimer.xcodeproj	Project parses successfully and exposes valid targets/schemes: LapTimeriOS and LapTimerWatch	H2	strong
E4	plutil -p on Info.plist files and rg on project.pbxproj	Watch companion structure is present: WKApplication=true, WKCompanionAppBundleIdentifier=com.mimac.LapTimeriOS, Embed Watch Content build phase exists	H2	strong
E5	xcodebuild -showBuildSettings -target LapTimerWatch	Watch target minimum OS is WATCHOS_DEPLOYMENT_TARGET=11.0 while observed device OS is watchOS 10.6.2	H3	medium
E6	plutil -p on entitlements and rg for signing in project.pbxproj	Signing is automatic with DEVELOPMENT_TEAM=8R3B5675ZJ; entitlements files exist and are empty, with no obvious malformed key	H2	medium
E7	find/ls/stat under /Users/mimac/Library/Developer/Xcode/watchOS DeviceSupport	Watch DeviceSupport is incomplete: only 6.6M, residual .copying_lock and .processing_lock, partial .tmp dyld cache, no finalized support	H2	strong
E8	find/ls/stat/plutil under /Users/mimac/Library/Developer/Xcode/iOS DeviceSupport	iPhone DeviceSupport is finalized and large (5.5G) with Info.plist, Symbols, and finalized marker	H2	strong
E9	xcrun devicectl list devices	iPhone is connected while MIBUWatch is unavailable	H2	strong
E10	xcrun devicectl device info details --device E9D5CA0F-0729-5DFD-94B9-EFE2AB589C0E	iPhone reports ddiServicesAvailable=true and tunnelState=connected	H2	strong
E11	xcrun devicectl device info details --device 0FD49E9C-6EC3-5101-8D38-2EC3A12A61D9	Watch returns "A connection to this device could not be established", ddiServicesAvailable=false, pairingState=paired, tunnelState=unavailable	H2	strong
E12	xcrun xctrace list devices	Watch appears under Devices Offline while iPhone remains online	H2	strong
E13	/usr/bin/log show --last 2d --predicate process == "remotepairingd"	remotepairingd logs include kAMDPasswordProtectedError and Failed to listen for watches paired with..., proving iPhone lock/trust sometimes blocked watch proxy setup	H2	medium
E14	/usr/bin/log show --last 2d --predicate process == "remotepairingd"	After Bonjour/RSD resolution, control-channel connection attempts hit Connection refused to watch-side endpoint	H2	strong
E15	/usr/bin/log show --last 2d --predicate process == "remotepairingd"	Repeated Transport error and Control channel connection timed out while in state preparing for watch UDID 00008006-001D451C22EB002E	H2	strong
E16	/Users/mimac/Desktop/CoreDevice-diagnose/devicectl-diagnose-watch-iphone.zip	The saved devicectl diagnose archive itself reports diagnose failure and partial collection, consistent with unstable CoreDevice watch access	H2	weak
E17	/Users/mimac/Desktop/CoreDevice-backup/db.sqlite.20260404-162608.bak and db.sqlite.20260404-162628.bak	Backup CoreDevice DB snapshots are stale/broken and only retain iPhone cache rows, showing CoreDevice state churn but not a folder-side defect	H2	weak
E18	Folder search for .env, .mobileprovision, Package.swift, Podfile, Cartfile, README/log notes	No project-local secret, provisioning file, package manager, or custom script artifact was found that explains watch transport failure	H2	medium
